Player,Year_Drafted,Year_Final,Career Earnings (millions),Cap-Inflated Earnings (millions),Earnings By Team Dict
Matt Blanchard,9999,9999,0.295,0.56,"{'Panthers': 0.255, 'Browns': 0.02, 'Colts': 0.02}"
Tanner Lee,2018,2018,0.291,0.42,{'Jaguars': 0.291}
Chase Garbers,2022,2022,0.277,0.34,{'Raiders': 0.277}
Connor Shaw,9999,9999,0.27,0.454,"{'Bears': 0.164, 'Browns': 0.106}"
EJ Perry,2022,2023,0.266,0.323,{'Jaguars': 0.266}
Jordan Travis,2024,9999,0.254,0.254,{'Jets': 0.254}
Sam Hartman,2024,9999,0.245,0.245,{'Commanders': 0.245}
Tommy Stevens,2020,2020,0.242,0.312,"{'Saints': 0.156, 'Panthers': 0.086}"
Jarrett Guarantano,2022,2022,0.224,0.275,"{'Broncos': 0.178, 'Cardinals': 0.046}"
Mike Kafka,9999,9999,0.216,0.411,"{'Buccaneers': 0.187, 'Vikings': 0.023, 'Titans': 0.007}"
Chase Litton,2018,2018,0.205,0.291,"{'Chiefs': 0.149, 'Jaguars': 0.056}"
Adam Weber,2011,2012,0.204,0.432,"{'Broncos': 0.107, 'Buccaneers': 0.097}"
Jameill Showers,2015,2015,0.192,0.329,{'Cowboys': 0.192}
Chad Kanoff,2018,2018,0.188,0.27,"{'Cardinals': 0.172, 'Lions': 0.016}"
Joe Milton III,2024,9999,0.183,0.183,{'Patriots': 0.183}
Brian Lewerke,2021,2021,0.177,0.245,"{'Giants': 0.174, 'Patriots': 0.002}"
Jordan Ta'amu,2020,2020,0.163,0.211,"{'Chiefs': 0.154, 'Panthers': 0.009}"
J.T. Barrett,2018,2019,0.162,0.229,"{'Saints': 0.154, 'Steelers': 0.008}"
Manny Wilkins,2019,2019,0.143,0.194,{'Packers': 0.143}
B.J. Coleman,2012,2012,0.143,0.302,{'Packers': 0.143}
Devin Leary,2024,9999,0.138,0.138,{'Ravens': 0.138}
Trevor Knight,2017,2017,0.125,0.192,"{'Falcons': 0.122, 'Cardinals': 0.003}"
Tanner Mordecai,2024,9999,0.125,0.125,{'49ers': 0.125}
Carter Bradley,2024,9999,0.125,0.125,{'Raiders': 0.125}
Jeff Garcia,2011,2011,0.124,0.262,{'Texans': 0.124}
Case Cookus,2022,2022,0.116,0.144,"{'Rams': 0.08, 'Giants': 0.035}"
